url,movie_name,actor_name,hindi_diag,english_diag,cat
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,Teen tarah ki jung world famous hai ... pati aur patni ke beech ... pani aur petrol ke beech ... aur India aur Pakistan ki cricket match ke beech,Three types of battles are world famous ... between a husband and a wife ... between water and petrol ... and a cricket match between India and Pakistan,"Sports & Games,Husband & Wife"
http://www.filmyquotes.com/movies/1583, Azhar,Lara Dutta,Aapke yaar bahut honge ... main unmein se nahi,You might have a lot of friends ... but I'm not one of them,Friendship
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,Record 100 par banta hai ... 99 par koi taali nahi bajata,A record is made when you score 100 runs ... no one claps for 99 runs,Sports & Games
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,Fans halla bhi karte hai aur hawa tight bhi,Fans cheer you and get you straightened up as well,Comedy
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,Jab chaati pe India likha ho ... toh dil nahi bharta,When you have India written on your heart ... then you can never be done,Patriotism
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,Cricket ho ya pyar ... agar timing sahi nahi hai toh kuch nahi hai,Be it cricket or love ... if your timing is not right then nothing is right,"Time,Sports & Games"
http://www.filmyquotes.com/movies/1583, Azhar,Rajesh Sharma,Kabhi kabhi paisa joh hai woh insaan se zyada kaam aata hai,Sometimes money comes in more handy than a person,Money
http://www.filmyquotes.com/movies/1583, Azhar,Category: ,Itna gyaan mat baant ki khatam ho jaaye,Don't spread so much knowledge that you might run out of it,
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,Kachhuae na kahaniyon mein jeette hai ... asli zindagi mein nahi,Tortoises only win in stories ... not in real life,"Animals & Birds,Victory & Success,Life"
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,Galati toh hui thi mujhse ... par galati manne ki ek aur galati karne ka mood nahi tha,I had done a mistake ... but I was not in a mood to do another mistake but accepting by mistake,Comedy
http://www.filmyquotes.com/movies/1583, Azhar,Rajesh Sharma,Paisa jab bolta hai toh koi kuch nahi bol paata,When money talks then no one can talk in front of it,Money
http://www.filmyquotes.com/movies/1579, Baaghi: A Rebel For Love,Category: ,"Maana mera tareeka galat tha ... par kya karoon, tumse bahut pyar karta hoon","I agree that my way was wrong ... but what can I do, I love you a lot",
http://www.filmyquotes.com/movies/1579, Baaghi: A Rebel For Love,Tiger Shroff,"Agar tera mera koi connection hai, toh agli baar jab baarish hogi ... hum apne aap mil jayenge","If you and I have any connection, then the next time it rains ... we both will meet automatically",Weather
http://www.filmyquotes.com/movies/1579, Baaghi: A Rebel For Love,Category: ,"Baaghi bano, be a rebel ... par kisi maqsad ke liye",Be a rebel ... but only for a reason,
http://www.filmyquotes.com/movies/1579, Baaghi: A Rebel For Love,Tiger Shroff,Itni jaldi kya hai ... abhi toh maine start kiya hai,What's the hurry ... I've just started now,Rowdyism
http://www.filmyquotes.com/movies/1579, Baaghi: A Rebel For Love,Shraddha Kapoor,Tu bahut aage jayega ... kyun ki tu jahan bhi jayega na ... log bolenge chal beta aage bhad,"You will go very forward in life ... because wherever you'll go ... people will say that, come on move ahead and go away",Comedy
http://www.filmyquotes.com/movies/1579, Baaghi: A Rebel For Love,Category: ,Ek baaghi aur ek sipahi mein zyada farak nahi hota hai ... bas yeh unke maqsad hai joh ek ko baaghi banata hai aur doosre ko sipahi,There is not much difference between a rebel and a soldier ... it's their motive what makes one a rebel and the other a soldier,
http://www.filmyquotes.com/movies/1579, Baaghi: A Rebel For Love,Category: ,"Manushya apni taqat se kisi ko jeet sakta hai, jhuka sakta hai ... lekin pyar nahi paa sakta",A human can win over someone or make someone bow down with his strength ... but he can't win someone's love with it,
http://www.filmyquotes.com/movies/1616, Baar Baar Dekho,Sidharth Malhotra,Tum mera guzra hua kal thi ... aane waala kal hogi ... aur yeh pal ho,You're my past ... you'll be my future ... and you're my present,"Romance,Time"
http://www.filmyquotes.com/movies/1616, Baar Baar Dekho,Rajit Kapur,"Joh guzar gaya woh haath mein nahi ... aane wala kal, joh kisse pata kya layega ... paas hamare sirf aaj hai, sirf ab hai ... us hi pe control hai ... bas yeh pal haath mein hai","What has past is not in our hands ... the tomorrow, who knows what it'll bring ... we only have today, this moment with us ... we only have control over that ... we only have this moment in our hands","Time,Inspiration"
http://www.filmyquotes.com/movies/1616, Baar Baar Dekho,Category: ,The answers to the future lie in the past,The answers to the future lie in the past,
http://www.filmyquotes.com/movies/1616, Baar Baar Dekho,Katrina Kaif,Kabhi kabhi jab logon ko kuch samajh na aaye ... toh usse moden art keh dete hai,Sometimes when people don't understand anything ... then we call it modern art,Comedy
http://www.filmyquotes.com/movies/1616, Baar Baar Dekho,Sidharth Malhotra,Main apna har aaj sirf tumhare saath bitana chahta hoon,I want to spend every present moment of mine with you,Romance
http://www.filmyquotes.com/movies/1122, Ab Tak Chhappan 2,Nana Patekar,"Upar waale ne insaan ke shareer mein nau chhed kiye hai ... do kaan ke, do naak ke, do aankh ke, ek mooh ka ... baki ke do tu jaanta hai ... sapne mein bhi galat socha na, dusva chhed kar doonga","God has made 9 holes in a human body ... two for the ear, two for the nose, two for the eyes, one for the mouth ... and you know the remaining two ... now even if you think wrong in your dream, then I'll make the 10th hole","Action,Rowdyism"
http://www.filmyquotes.com/movies/1122, Ab Tak Chhappan 2,Nana Patekar,Force kisi ke baap ki jagir nahi hai ... force ki apni ek dignity hai ... us dignity ko barkarar rakhna hamari zimmedari hai,The force is not a property of someone's father ... the force has it's own dignity ... and to maintain that dignity is our responsibility,Police
http://www.filmyquotes.com/movies/1122, Ab Tak Chhappan 2,Nana Patekar,"Ghar mein hai bas chhe hi log ... chaar deewarein, chatt aur main ... raat sahuli ek saheli, gora chitta din hai dost ... ghar mein hai bas chhe hi log ... tehelne nikle tanha parchai, main bhi uske peeche chaloon ... neele ambar ke kagaz par panchi hokar chitra banoon ... indradhanush ki tirchi daali par chipki geeli geeli aus ... ghar mein hai bas chhe hi log ... chaar deewarein, chatt aur main","There are only six people in the house ... four walls, the roof and me ... the night is my girlfriend, and the fair day is my buddy ... there are only six people in the house ... the saddened shadow is going for a walk, and I'm going behind it ... may I become like a bird in a picture on the canvas of the blue sky ... and like a moist dew drop on a branch under the rainbow ... there are only six people in the house ... four walls, the roof and me","Poem,House"
http://www.filmyquotes.com/movies/1122, Ab Tak Chhappan 2,Nana Patekar,"Gandhiki jab tak deewar par the humne haar pehnaye ... note par aa gaye, humne jeb mein daal liye","Until Mahatma Gandhi was on the wall we used to put a garland around him ... now he's come on money, and we have put him in our pockets",Money
http://www.filmyquotes.com/movies/1122, Ab Tak Chhappan 2,Mohan Agashe,"Once a cop, always a cop!","Once a cop, always a cop!",Police
http://www.filmyquotes.com/movies/1122, Ab Tak Chhappan 2,Vikram Gokhale,Ek shehar mein do gangs nahi honi chahiye ... varna doosri gang ka istamal koi teesra karta hai,There shouldn't be two gangs in the city ... or else a third gang uses the second gang,Rowdyism
http://www.filmyquotes.com/movies/1122, Ab Tak Chhappan 2,Mohan Agashe,"Force se zyada, joh log force mein hai woh important hote hai ... aur hamara system hamesha joh log is kaam ke liye bane hai, unko nazar andaz karke ... un logon pe kaam saunpte hai, joh us kaam ke maaine bhi nahi jante","More than the force itself, the people who are in the force are important ... and our system always ignores the people who are made for that kind of work ... and it gives the responsibility of that work to those people, who don't even understand the value of that work","Police,Government"
http://www.filmyquotes.com/movies/1122, Ab Tak Chhappan 2,Nana Patekar,"What you perceive is your reality, what I perceive is my reality ... there is no reality as such ... there are only perceptions","What you perceive is your reality, what I perceive is my reality ... there is no reality as such ... there are only perceptions",Inspiration
http://www.filmyquotes.com/movies/1122, Ab Tak Chhappan 2,Vikram Gokhale,"Isse kehte hai politics ... har cheez ka sahi waqt par, sahi dhang se istamal karne ka hunar hona chahiye ... joh achcha chal raha hai usse bhigaadna aana chahiye ... joh bhigad raha hai usse sudhaarna aana chahiye",This is called as politics ... in which you need to have the talent to use everything at the right time and in the right manner ... you should know how to spoil things that are going well ... and you should know how to improve things that are going bad,Politics
http://www.filmyquotes.com/movies/1265, ABCD 2: Any Body Can Dance 2,Varun Dhawan,Agar koi music feel kar sakta hai ... then anybody can dance!,If someone can feel music ... then anybody can dance!,"Dance,Music"
http://www.filmyquotes.com/movies/1265, ABCD 2: Any Body Can Dance 2,Varun Dhawan,We dance to express ... not to impress,We dance to express ... not to impress,Dance
http://www.filmyquotes.com/movies/1265, ABCD 2: Any Body Can Dance 2,Prabhu Deva,Galatiyan sabse hoti hai ... but life is all about a second chance,Everyone commits mistakes ... but life is all about a second chance,Inspiration
http://www.filmyquotes.com/movies/1265, ABCD 2: Any Body Can Dance 2,Varun Dhawan,Sahi direction mein utha har kadam ... apne aap mein ek manzil hai ... after all life is all about the next step,Every step that moves in the right direction ... is a goal in itself ... after all life is all about the next step,"Inspiration,Life"
http://www.filmyquotes.com/movies/1265, ABCD 2: Any Body Can Dance 2,Varun Dhawan,Sache dil se ki gai har koshish ... kisi bhi haar jeet se badi hoti hai,Every attempt that is done with a true heart ... is bigger than losing or winning,"Inspiration,Victory & Success,Defeat & Failure"
http://www.filmyquotes.com/movies/1591, All Is Well,Abhishek Bachchan,Zindagi se bhaagte bhaagte ek modh aaisa aata hai ... jab aage badne se pehle aapko rukna padta hai,When you run behind life there comes a turn ... when you have to pause before you move ahead,Life
http://www.filmyquotes.com/movies/1591, All Is Well,Abhishek Bachchan,Kuch log sapno ke peeche bhaagte hai kyun ki woh unhe sach karna chahte hai ... lekin kuch log sapno ki peeche is liye bhaagte hai kyun ki unhe apni sachai se bhaagna hota hai,Some people run behind their dreams since they want to make them true ... but some people run behind their dreams since they want to run away from their truth,"Dreams,Truth & Honesty"
http://www.filmyquotes.com/movies/1201, Alone,Bipasha Basu,Meri tarah tumhe koi pyar nahi kar sakta ... aur yeh baat main jitni baar bhi kahoon kam hai,"No one can love you like me ... and no matter how many times I say that, it's less",Romance
http://www.filmyquotes.com/movies/1201, Alone,Category: ,Jaise insaano mein do tarah ke log hote hai ... vaise aatmao mein bhi do tarah ki aatmayen hoti hai ... achchi aur buri,Just like there are two kinds of people ... just like that there are two kinds of souls ... good and bad,
http://www.filmyquotes.com/movies/1201, Alone,Karan Singh Grover,Jab khone ki naubat aati hai ... tabhi paane ki keemat samajh aati hai,When it comes to losing something ... only then you understand the value of achieving it,Drama
http://www.filmyquotes.com/movies/1201, Alone,Karan Singh Grover,"Dil mein joh jagah hoti hai woh sirf kisi ek ko di jaati hai ... usse aur koi nahi le sakta ... na saath jeeke, na saat phere leke, na saath rehke","The place that is there in the heart is only given to one person ... no one else can take that ... not by living together, not by getting married, not by staying together","Romance,Marriage & Wedding"
http://www.filmyquotes.com/movies/1201, Alone,Karan Singh Grover,"Yeh sab ek sapna hai jis mein tum ho, main hoon aur koi nahi ... yeh woh waqt hai jispe sirf tumhara haq hai, mera bhi nahi","All this is a dream in which you're there, I'm there and no one else ... this is the time on which only you have the right, not even me","Dreams,Time,Romance"
http://www.filmyquotes.com/movies/1201, Alone,Karan Singh Grover,Shayad sach hamare rishtey ko jodh na paye ... lekin jhoot isse zaroor todh dega,May be the truth won't be able to join our relationship ... but lies will definitely break it,"Truth & Honesty,Lies & Cheating"
http://www.filmyquotes.com/movies/1097, Baby,Danny Denzongpa,"Mil jaate hai kuch officers hum mein todhe pagal, todhe adhiyal ... jinke dimaag mein sirf desh aur desh bhakti ghumti rehti hai ... yeh desh ke liye marna nahi chahte, balki jeena chahte hai ... taki aakhri saans tak desh ki rakhsha kar sake","We do get some officers who are a little mad, a little stubborn ... in whose mind only country and patriotism keeps moving ... these people don't want to die for their country, instead they want to live ... so that they can protect their country till their last breath",Patriotism
http://www.filmyquotes.com/movies/1097, Baby,Akshay Kumar,Main kuch bhi kar sakta hoon!,I can do anything!,Drama
http://www.filmyquotes.com/movies/1097, Baby,Danny Denzongpa,Har jung border par nahi hoti,Not every war happens on the border,War & Battle
http://www.filmyquotes.com/movies/1114, Badlapur,Varun Dhawan,Log kehte hai apne dushman ko maaf kar dena chahiye ... main bhi yahi maanta hoon ... lekin unhe tadpa tadpake maarne ke baad,People say that you should forgive your enemy ... I also agree with that ... but after killing them with pain and agony,"Enemy,Action"
http://www.filmyquotes.com/movies/1205, Badmashiyaan,Category: ,Aapki aankhon mein dekha toh irradon mein badmashiyan aa gayi,My intentions became naughty when I looked in your eyes,Romance
http://www.filmyquotes.com/movies/1205, Badmashiyaan,Category: ,Is duniya mein sirf do hi kisam ke log hote hai ... ek jeevit aur doosre vivahit,There are only two kinds of people who exists in this world ... one who are living and second who are married,Comedy
http://www.filmyquotes.com/movies/1205, Badmashiyaan,Category: ,Choriyon ko jahan bhi proposal ka andesha ho ... unhe do hi jagah nazar aati hai ... courtroom aur washroom ... courtroom se shaadi ho jaati hai aur washroom se azaadi,Wherever girls sense the intention of a proposal ... they only look for two places ... courtroom and washroom ... in the courtroom they can get married and from the washroom they can run away,"Marriage & Wedding,Comedy"
http://www.filmyquotes.com/movies/1205, Badmashiyaan,Category: ,Ek naari se itno ko pyar ... do shikaar ek chowkidar,So many people love a single woman ... two of them are preys and one is a watchman,Comedy
http://www.filmyquotes.com/movies/1205, Badmashiyaan,Category: ,Maari kahani mein baatein kam ... action zyada hove hai,In my story there is less talking ... and more action,
http://www.filmyquotes.com/movies/1205, Badmashiyaan,Category: ,"Jodiyan toh upar aasman mein hi decide ho jaati hai ... neeche toh bas unhe milvata hai koi ittefaq, koi halaat ... kabhi kisi ki rashiyan ya phir upar waale ki badmashiyan","Couples are decided up above in the sky ... down here they only connect due to some coincidence, some condition ... the horoscope of someone or may be the naughtiness of god",Religion & God
http://www.filmyquotes.com/movies/651, 2 States,Arjun Kapoor,Agar suddenly ek saath sab kuch theek ho jaaye ... toh life bahut boring ho jaati hai,If suddenly everything becomes alright ... then life becomes boring,Life
http://www.filmyquotes.com/movies/651, 2 States,Arjun Kapoor,Punjabi mother-in-law se khatarnak kuch bhi nahi hota hai is duniya mein,There is nothing more dangerous in this world than a Punjabi mother-in-law,"Family,Comedy"
http://www.filmyquotes.com/movies/651, 2 States,Arjun Kapoor,Story mein hero ho ya na ho ... story hero honi chahiye,The story may have a hero or not ... the story itself must be a hero,Inspiration
http://www.filmyquotes.com/movies/651, 2 States,Arjun Kapoor,Budhi ho ya jawaan ... melodrama is duniya ki sari auraton ke khoon mein hota hai,Be it old or young ... all the women of this world have melodrama in their blood,"Women,Comedy"
http://www.filmyquotes.com/movies/651, 2 States,Amrita Singh,Makhan sirf khaya jaata hai ... lagaya nahi jaata,Butter is only meant to be eaten ... not to be applied,"Food & Drinks,Comedy"
http://www.filmyquotes.com/movies/900, Action Jackson,Ajay Devgan,Pasand aaya toh dil mein ... nahi toh dimaag mein bhi nahi,If I like it then it's in my heart ... or else it's not even in my mind,Rowdyism
http://www.filmyquotes.com/movies/900, Action Jackson,Ajay Devgan,"Na commitment, na appointment ... only punishment!","No commitment, no appointment ... only punishment!","Rowdyism,Action"
http://www.filmyquotes.com/movies/900, Action Jackson,Ajay Devgan,Main ek hi baar bolta hoon ... kyun ki doosri baar sunne ke liye tu nahi hoga,I only say it once ... because you won't be there to hear it for the second time,Rowdyism
http://www.filmyquotes.com/movies/900, Action Jackson,Ajay Devgan,It's my way ya skyway,It's my way or the skyway,Rowdyism
http://www.filmyquotes.com/movies/900, Action Jackson,Ajay Devgan,Me criminally good!,I'm criminally good!,"Rowdyism,Thief & Criminal"
http://www.filmyquotes.com/movies/900, Action Jackson,Kunaal Roy Kapur,Meri kundli mein likha tha ki main foreign shift ho jaonga ... yeh nahi pata tha ki main yahin se hi lift ho jaonga,It was written in my horoscope that I'll shift to a foreign country ... but I didn't know that I'll die over there,Comedy
http://www.filmyquotes.com/movies/900, Action Jackson,Sonakshi Sinha,"Pehle daru peeta tha, maar peet karta tha ... toh Singham tha ... maine isse sab kuch chhudake chewing bana diya","First he used to drink alcohol, he used fight ... then he was Singham (lion) ... I made him leave all that and turned him into a chewing gum","Food & Drinks,Animals & Birds,Comedy"
http://www.filmyquotes.com/movies/900, Action Jackson,Ajay Devgan,Honth hai ya vacuum cleaner ... zabaan toh vapas dede,Are these lips or a vacuum cleaner ... atleast give me my tongue back,"Adult,Comedy"
http://www.filmyquotes.com/movies/900, Action Jackson,Ajay Devgan,Mujhe bahut darr lagta hai apne aap se aur apne gusse se,I'm very scared of myself and my anger,Rowdyism
http://www.filmyquotes.com/movies/900, Action Jackson,Ajay Devgan,Saala jisne daru banaya hai uska putla banana chahiye,We should make a statue of the person who invented alcohol,"Food & Drinks,Comedy"
http://www.filmyquotes.com/movies/1266, Amit Sahni Ki List,Vir Das,First love jitna special hota hai na ... utna hi painful first heart break hota hai,How much special first love is ... that much painful the first heart break is,Romance
http://www.filmyquotes.com/movies/1266, Amit Sahni Ki List,Vir Das,Thappad aaise hi hote hai ... jab expect karo toh nahi milte hai ... aur jab na expect karo toh bijli ki tarah lapak ke padte hai,"Slaps are like that only ... when you expect them, then you don't get them ... and when you don't expect them, then they come at you like lightning",Comedy
http://www.filmyquotes.com/movies/1266, Amit Sahni Ki List,Vir Das,Jab insaan Doordarshan dekhne par utar aata hai ... toh samajh lo all is not well,When a person starts watching Doordarshan ... then understand that everything is not well,Comedy
http://www.filmyquotes.com/movies/1266, Amit Sahni Ki List,Vir Das,Dil tootne ka ek side effect yeh bhi hota hai ... ki bill bhi choot jaate hai,One side effect of a heart break is also that ... even the bills get left behind,"Money,Comedy"
http://www.filmyquotes.com/movies/1266, Amit Sahni Ki List,Vir Das,Zindagi bhi na ladkiyon ki tarah unpredictable hoti hai ... kab mood change ho jaye keh nahi sakte,Life is unpredictable like girls ... you can't say when the mood changes,"Life,Women"
http://www.filmyquotes.com/movies/839, Bang Bang,Hrithik Roshan,Woh yeh soochte hai ki tum kuch jaanti ho ... par woh yeh nahi jaante ki tum kuch nahi jaanti,They think that you know something ... but they don't know that you don't know anything,Comedy
http://www.filmyquotes.com/movies/839, Bang Bang,Hrithik Roshan,Main toh roz yeh maankar nikalta hoon ki ... yeh mera aakhri din hai,I leave everyday thinking that ... this is my last day,Drama
http://www.filmyquotes.com/movies/839, Bang Bang,Jimmy Shergill,Joh desh ke liye ladte hai ... unki maut ka countdown unki pehli saans ke saath shuru ho jaata hai,Those who fight for their country ... the countdown of their death starts with their first breath,"Patriotism,Death"
http://www.filmyquotes.com/movies/839, Bang Bang,Jimmy Shergill,"In aankhon mein gaur se dekh ... na toh in mein marne gham hai, na maut ka khauff ... sirf garv hai","Look properly in these eyes ... neither there is the sorrow of dying, nor there is the fear of death ... there is only pride in it","Death,Sadness,Drama"
http://www.filmyquotes.com/movies/839, Bang Bang,Hrithik Roshan,Kripya apni kursi ki peti bandh lijiye,Please fasten your seat belts,"Action,Comedy"
http://www.filmyquotes.com/movies/839, Bang Bang,Jimmy Shergill,Terrorism ke business mein recession nahi hota,In the business of terrorism there is no recession,Drama
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Ayushmann Khurrana,Jeb mein paise ho na ho ... log coffee peena kabhi nahi chhodenge,Whether people have money in their pocket or not ... they will never leave drinking coffee,"Food & Drinks,Money"
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Ayushmann Khurrana,Paise ho na ho ... pyar apna jugaad nikaal hi leta hai,Whether money is there or not ... love will find it way,"Money,Romance"
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Rishi Kapoor,Life at sixty end nahi hoti ... start hoti hai,Life doesn't end at sixty ... it starts there,"Life,Inspiration"
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Ayushmann Khurrana,Humayun's Tomb ho ya Taj Mahal ... mera bhi love in monuments ki tarha rock solid rahega centuries and centuries tak,Just like Humayun's Tomb and Taj Mahal ... my love will also be rock solid like these monuments for centuries and centuries,"City & Places,Romance,Comedy"
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Rishi Kapoor,Uski market value kam hogi lekin ... character is priceless,His market value may be less ... but his character is priceless,Comedy
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Ayushmann Khurrana,If there is love ... toh tees rupaye aur ek cup coffee enough hai happiness ke liye,If there is love ... then Rs. 30 and one cup of coffee is enough for happiness,"Happiness,Food & Drinks,Money"
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Rishi Kapoor,"Pyar kha lenge, pyar pehen lenge ... pyar petrol tank mein bhar kar gaadi chala lenge","We will eat love, we will wear love ... we will fill love in the petrol tank and drive the car","Comedy,Romance,Transportation"
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Ayushmann Khurrana,Paise nahi toh kya hua ... pyar toh hai unlimited,So what if I don't have money ... I have unlimited love,"Money,Romance"
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Ayushmann Khurrana,Oh hotness ... kha jaun tereko?,You are very hot ... can I eat you?,Comedy
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Rishi Kapoor,Yeh chilled nahi child beer hai,"This is child's beer, not chilled beer","Food & Drinks,Comedy"
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Rishi Kapoor,Pyar kabhi kam na karna sanam ... har kami hum gawara kar lenge,My love just don't ever love me less ... I'll bear every other limitation,Romance
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Rishi Kapoor,Khali jeb Romeo type tevar achche nahi lagte,This Romeo type attitude doesn't look good with empty pockets,Comedy
http://www.filmyquotes.com/movies/826, Bewakoofiyaan,Sonam Kapoor,Agar aaj jeete na toh hamesha ke liye haar jaoge,If you win today then you'll lose forever,"Victory & Success,Defeat & Failure"
http://www.filmyquotes.com/movies/598, Bhoothnath Returns,Boman Irani,Election circus ki tarah hota hai ... jahan pe joker sirf time pass ke liye hota hai ... ticketein khareedi jaati hai sher ko dekhne ke liye,Election is just like the circus ... where the joker is there just for time pass ... tickets are bought to see the tiger,"Politics,Animals & Birds,Comedy"
http://www.filmyquotes.com/movies/598, Bhoothnath Returns,Amitabh Bachchan,Trailer hit toh picture hit ... aur gaana hit toh picture super hit,If the trailer is a hit then the movie is a hit ... and if the song is a hit then the movie is a super hit,"Music,Comedy"
